"Clust","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","Lat.100","Long.100","x","y"
"S.1078",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,57.5476735059278,-4.35263742538754,259300.001065269,853280.001662598
"S.1079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.548750488555,-4.35270688273609,259300.001065261,853400.0016628
"S.108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.32078772,-4.819837962,230300.001154593,829100.00377592
"S.1080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,57.5550328824595,-4.3531121488538,259300.001065216,854100.001663959
"S.1081",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,57.5540419216898,-4.35806304055873,259000.001065748,854000.001675207
"S.1082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.5965036422575,-4.34575024379361,259900.001063882,858700.001649002
"S.1083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,57.8765416724058,-4.36227312281866,260000.001061542,889900.001696903
"S.1085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,57.588581181421,-4.33687405409993,260400.001063101,857800.001629091
"S.1087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.5986387735842,-4.32747768351788,261000.00106204,858900.001609136
"S.1088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.6040545352371,-4.32615006061135,261100.001061836,859500.001606507
"S.1089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,57.5905613168475,-4.32696146409636,261000.001062102,858000.001607707
"S.109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.3215803,-4.820563223,230260.001117808,829190.003046737
"S.1090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,57.5995362679531,-4.32753505821295,261000.001062033,859000.001609296
"S.1091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.9057898605381,-4.33549856625018,261700.001058383,893100.001638214
"S.1092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.8986412829947,-4.3333470487012,261800.00105828,892300.001633295
"S.1093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,57.5882672300962,-4.30506382021054,262300.001060081,857700.001561812
"S.1094",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.3917690782623,-4.28938059649019,262500.001061327,835800.001522218
"S.1095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,57.5818930696082,-4.30967911085656,262000.001060591,857000.001571037
"S.1096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.7813202049199,-4.31231323267665,262600.001058013,879200.001584351
"S.1097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.7813508567139,-4.31063310636795,262700.001057858,879200.001580882
"S.1098",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,57.5768730915937,-4.28928937842289,263200.001058835,856400.001529664
"S.1099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,57.5732223870377,-4.29240497134136,263000.001059157,856000.001535694
"S.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,56.53793659,-4.780868412,229100.001121467,741900.002827915
"S.110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.32147942,-4.821053873,230230.001182952,829180.003316512
"S.1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,57.322987716915,-4.26682821164723,263600.001060305,828100.001475706
"S.1101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.6824258456198,-4.26574905060936,265000.001055393,868100.001488742
"S.1102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,57.7929100558198,-4.26762422034371,265300.001053974,880400.001496771
"S.1103",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.4466389153589,-4.23614310005708,265900.001056289,841800.001425061
"S.1104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,57.8371278644211,-4.25692570481636,266100.001052479,885300.001478756
"S.1105",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,57.8857127145913,-4.25322245380795,266500.001051481,890700.001473992
"S.1106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.6275797848068,-4.21710804050629,267700.001052476,861900.001400132
"S.1107",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,57.6171554574969,-4.20692850116752,268270.001051913,860720.001382774
"S.1108",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,57.6159572452335,-4.20350706788868,268470.001051697,860580.00137712
"S.1109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,57.0758938355712,-4.16428215575811,268900.001056035,800400.001291327
"S.111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.31985332,-4.82142756,230200.001160454,829000.003404271
"S.1110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.8821416371158,-4.20070974805349,269600.001047757,890200.001384025
"S.1111",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,57.3905579760859,-4.16483098303839,269980.001052208,835420.001306651
"S.1112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,57.3976222935508,-4.16158608326829,270200.001051923,836200.001302134
"S.1113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,57.7620449113253,-4.18331326974973,270200.001048351,876800.001351361
"S.1114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.3987617638267,-4.15854071884705,270387.001051728,836321.001297675
"S.1115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57.4021223078848,-4.15853867744011,270399.001051684,836695.001297823
"S.1116",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,57.4039627265801,-4.15863031543815,270400.001051666,836900.001298046
"S.1117",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,57.4028385487798,-4.15606724670851,270550.001051529,836770.001294221
"S.1118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,57.7594389629898,-4.17811302298806,270500.001048062,876500.001343227
"S.1119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.4375440040105,-4.13894796186116,271700.001050106,840600.001271203
"S.112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.32164769,-4.821565163,230200.001154937,829200.003155775
"S.1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.5848387909277,-4.14257000378904,272000.001048369,857000.001283051
"S.1121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,57.8043336275944,-4.12696088863745,273700.001044496,881400.001271271
"S.1122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,57.7840536795666,-4.10390007484276,275000.001043613,879100.001239822
"S.1123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.2958160159264,-4.07096149608597,275300.001048514,824700.001175957
"S.1124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.7556355173991,-4.08375916644054,276100.00104306,875900.001213172
"S.1125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,57.7547655122492,-4.0820283372329,276200.001042993,875800.001211005
"S.1126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,57.7556631324689,-4.08207997490339,276200.001042983,875900.001211117
"S.1127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.7556631324689,-4.08207997490339,276200.001042983,875900.001211117
"S.1128",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,0,57.7556631324689,-4.08207997490339,276200.001042983,875900.001211117
"S.1129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.7475293096106,-4.08497297834809,276000.001043228,875000.001214299
"S.113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.32054873,-4.822477631,230140.001163709,829080.003139775
"S.1130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,57.7475293096106,-4.08497297834809,276000.001043228,875000.001214299
"S.1131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,57.7531354775654,-4.07185060566483,276800.001042562,875600.00119863
"S.1132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,57.7531354775654,-4.07185060566483,276800.001042562,875600.00119863
"S.1133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,57.0747251097719,-4.01902673052955,277700.001049038,800000.001106408
