"Clust","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"S.1115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07620859146118
"S.1116",NA,NA,NA,NA,NA,NA,NA,NA,4.58656024932861,NA,NA,NA,NA,NA,NA,NA
"S.1117",NA,NA,NA,NA,NA,NA,NA,NA,4.58656024932861,NA,NA,NA,NA,NA,NA,NA
"S.1118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.55290126800537,NA,NA,NA
"S.1119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.89323663711548,NA,NA,NA,NA
"S.112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21056079864502,NA,NA,NA
"S.1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S.1121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13380765914917,NA,NA
"S.1122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.27589416503906,2.92439246177673,NA
"S.1123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.96337127685547,NA,NA,NA,NA
"S.1124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78497278690338,NA,NA,NA,NA
"S.1125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6141197681427,NA
"S.1126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9060537815094,NA,NA,NA
"S.1127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.04694151878357,NA,NA,NA,NA
"S.1128",NA,NA,NA,NA,NA,NA,NA,1.86120748519897,NA,NA,2.55032348632812,2.43800210952759,2.3640862107277,NA,NA,2.96865797042847
"S.1129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.27936935424805,NA,NA,NA,NA
"S.113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.21056079864502,NA,NA,NA
"S.1130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55032348632812,2.871737241745,NA,2.8089394569397,NA,NA
"S.1131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01437377929688,NA,NA,NA,NA,NA
"S.1132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01437377929688,NA,NA,NA,3.61970901489258,NA
